fill	x	y	key	showSelectedlegendfill	showSelected1
#00BA38	-0.000928253816704938	0.00358713755610586	1	L2-regularized	1e+04 
#00BA38	-0.00288281503159858	0.0111882901030992	1	L2-regularized	3e+03 
#00BA38	-0.00863726428552375	0.0339660849950193	1	L2-regularized	1e+03 
#00BA38	-0.0233767971273371	0.0954113380492073	1	L2-regularized	3e+02 
#00BA38	-0.0501745059243674	0.223148830364316	1	L2-regularized	1e+02 
#00BA38	-0.0763938309581432	0.387634494167017	1	L2-regularized	3e+01 
#00BA38	-0.0889407441086429	0.506095107930407	1	L2-regularized	1e+01 
#00BA38	-0.0927657691315443	0.560437759143178	1	L2-regularized	3e+00 
#00BA38	-0.0938027134411816	0.580163370789176	1	L2-regularized	1e+00 
#00BA38	-0.0940662471587711	0.586694647989537	1	L2-regularized	3e-01 
#00BA38	-0.0941178504844605	0.58879435402445	1	L2-regularized	1e-01 
