fill	x	y	key	showSelectedlegendfill	showSelected1
#F8766D	0	0	1	iteration	1
#F8766D	-0.000935962086203411	0.00360946387114027	1	iteration	2
#F8766D	-0.000928253816704938	0.00358713755610586	1	iteration	3
#F8766D	-0.000928312050007158	0.00358727701659546	1	iteration	4
#F8766D	-0.00156306563506053	0.00604015655786137	1	iteration	5
#F8766D	-0.00199186134588349	0.0077021961314067	1	iteration	6
#F8766D	-0.00228152255454472	0.0088283736580767	1	iteration	7
#F8766D	-0.00247719282290624	0.00959145829562554	1	iteration	8
#F8766D	-0.00260936921670246	0.0101085158910848	1	iteration	9
#F8766D	-0.00269865400478055	0.0104588686101671	1	iteration	10
#F8766D	-0.00275896486457464	0.0106962640768891	1	iteration	11
#F8766D	-0.00279970364281178	0.010857120982454	1	iteration	12
#F8766D	-0.0028272215164188	0.0109661161787839	1	iteration	13
#F8766D	-0.0028458088071167	0.0110399704073939	1	iteration	14
#F8766D	-0.0028583636596601	0.0110900134533013	1	iteration	15
#F8766D	-0.00286684376805406	0.0111239222568097	1	iteration	16
#F8766D	-0.00287257153592428	0.0111468986342841	1	iteration	17
#F8766D	-0.00287644022287271	0.0111624672862958	1	iteration	18
#F8766D	-0.00287905320173635	0.0111730165179166	1	iteration	19
#F8766D	-0.00288081802934371	0.0111801646242984	1	iteration	20
#F8766D	-0.00288200999219069	0.0111850081493475	1	iteration	21
#F8766D	-0.00288281503159858	0.0111882901030992	1	iteration	22
#F8766D	-0.002883358739327	0.0111905139440736	1	iteration	23
#F8766D	-0.00350718816246621	0.0136117206433135	1	iteration	24
#F8766D	-0.00406348602817457	0.0157758331579388	1	iteration	25
#F8766D	-0.00455955929298751	0.0177101517744358	1	iteration	26
#F8766D	-0.00500192466327488	0.0194390777233171	1	iteration	27
#F8766D	-0.005396394023163	0.0209844210441242	1	iteration	28
#F8766D	-0.00574815063141789	0.0223656757556618	1	iteration	29
#F8766D	-0.00606181708435736	0.02360026580371	1	iteration	30
#F8766D	-0.00634151593420572	0.0247037648896877	1	iteration	31
#F8766D	-0.00659092375627021	0.0256900929541352	1	iteration	32
#F8766D	-0.00681331937264909	0.0265716917942914	1	iteration	33
#F8766D	-0.00701162686375902	0.0273596820317261	1	iteration	34
#F8766D	-0.00718845393079683	0.0280640034106498	1	iteration	35
#F8766D	-0.00734612611143685	0.0286935401971721	1	iteration	36
#F8766D	-0.00748671729681659	0.029256233261773	1	iteration	37
#F8766D	-0.00761207694947147	0.029759180259211	1	iteration	38
#F8766D	-0.00772385437871185	0.0302087251698976	1	iteration	39
#F8766D	-0.00782352039142912	0.0306105383325281	1	iteration	40
#F8766D	-0.00791238660196821	0.0309696879777708	1	iteration	41
#F8766D	-0.00799162265406402	0.031290704165576	1	iteration	42
#F8766D	-0.00806227158050783	0.0315776359328159	1	iteration	43
#F8766D	-0.00812526350182955	0.0318341023722889	1	iteration	44
#F8766D	-0.0081814278435346	0.0320633382875539	1	iteration	45
#F8766D	-0.00823150423203572	0.032268234999615	1	iteration	46
#F8766D	-0.00827615221211659	0.0324513768203045	1	iteration	47
#F8766D	-0.00831595991332955	0.0326150736525381	1	iteration	48
#F8766D	-0.00835145177896245	0.0327613901287449	1	iteration	49
#F8766D	-0.00838309545892931	0.0328921716550954	1	iteration	50
#F8766D	-0.00841130795698574	0.0330090676901125	1	iteration	51
#F8766D	-0.00843646111289984	0.0331135525513518	1	iteration	52
#F8766D	-0.0084588864914942	0.0332069440126534	1	iteration	53
#F8766D	-0.00847887974270147	0.0332904199265884	1	iteration	54
#F8766D	-0.00849670448984248	0.0333650330818063	1	iteration	55
#F8766D	-0.00851259579715152	0.0334317244827236	1	iteration	56
#F8766D	-0.00852676326205735	0.0334913352190841	1	iteration	57
#F8766D	-0.00853939377280853	0.0335446170751347	1	iteration	58
#F8766D	-0.00855065396764345	0.0335922420122552	1	iteration	59
#F8766D	-0.00856069242779099	0.0336348106446706	1	iteration	60
#F8766D	-0.00856964163309727	0.0336728598151693	1	iteration	61
#F8766D	-0.0085776197059596	0.0337068693663957	1	iteration	62
#F8766D	-0.00858473196647208	0.0337372681931387	1	iteration	63
#F8766D	-0.00859107231920989	0.0337644396519643	1	iteration	64
#F8766D	-0.00859672448987042	0.0337887263964364	1	iteration	65
#F8766D	-0.00860176312801873	0.0338104346989178	1	iteration	66
#F8766D	-0.00860625479042756	0.0338298383134727	1	iteration	67
#F8766D	-0.00861025881793475	0.0338471819285973	1	iteration	68
#F8766D	-0.00861382811734285	0.0338626842533338	1	iteration	69
#F8766D	-0.00861700985863911	0.0338765407756967	1	iteration	70
#F8766D	-0.00861984609670206	0.0338889262282076	1	iteration	71
#F8766D	-0.00862237432566892	0.0338999967916377	1	iteration	72
#F8766D	-0.00862462797325409	0.0339098920647574	1	iteration	73
#F8766D	-0.00862663684151966	0.0339187368249388	1	iteration	74
#F8766D	-0.00862842749989571	0.0339266426018187	1	iteration	75
#F8766D	-0.00863002363562065	0.0339337090838721	1	iteration	76
#F8766D	-0.00863144636621233	0.0339400253756385	1	iteration	77
#F8766D	-0.00863271451808159	0.033945671121458	1	iteration	78
#F8766D	-0.00863384487495488	0.0339507175098924	1	iteration	79
#F8766D	-0.00863485239937584	0.0339552281714999	1	iteration	80
#F8766D	-0.00863575043020158	0.0339592599812873	1	iteration	81
#F8766D	-0.00863655085869384	0.0339628637759602	1	iteration	82
#F8766D	-0.00863726428552375	0.0339660849950193	1	iteration	83
#F8766D	-0.00863790016075781	0.0339689642537885	1	iteration	84
#F8766D	-0.00922910253765334	0.0362942413129911	1	iteration	85
#F8766D	-0.00979670833797151	0.0385316120116051	1	iteration	86
#F8766D	-0.010341655891083	0.0406844005058091	1	iteration	87
#F8766D	-0.0108648463348804	0.0427558052170268	1	iteration	88
#F8766D	-0.0113671450856221	0.044748903588994	1	iteration	89
#F8766D	-0.0118493832498382	0.0466666566648028	1	iteration	90
#F8766D	-0.012312358980575	0.0485119134907358	1	iteration	91
#F8766D	-0.0127568387801675	0.0502874153534458	1	iteration	92
#F8766D	-0.0131835587516447	0.0519957998567922	1	iteration	93
#F8766D	-0.0135932258007864	0.0536396048444	1	iteration	94
#F8766D	-0.0139865187907737	0.0552212721737828	1	iteration	95
#F8766D	-0.0143640896512992	0.0567431513476484	1	iteration	96
#F8766D	-0.0147265644439272	0.0582075030077919	1	iteration	97
#F8766D	-0.0150745443854264	0.0596165022967771	1	iteration	98
#F8766D	-0.0154086068307292	0.060972242092412	1	iteration	99
#F8766D	-0.015729306217106	0.0622767361198318	1	iteration	100
#F8766D	-0.0160371749710821	0.063531921945821	1	iteration	101
#F8766D	-0.0163327243795625	0.0647396638598348	1	iteration	102
#F8766D	-0.0166164454265747	0.0659017556460043	1	iteration	103
#F8766D	-0.0168888095969831	0.0670199232502539	1	iteration	104
#F8766D	-0.0171502696484748	0.0680958273465007	1	iteration	105
#F8766D	-0.0174012603530673	0.0691310658057539	1	iteration	106
#F8766D	-0.0176421992093372	0.0701271760717904	1	iteration	107
#F8766D	-0.0178734871265246	0.0710856374469416	1	iteration	108
#F8766D	-0.018095509081619	0.0720078732913945	1	iteration	109
#F8766D	-0.0183086347504937	0.0728952531392786	1	iteration	110
#F8766D	-0.018513219114108	0.0737490947346896	1	iteration	111
#F8766D	-0.0187096030407623	0.074570665990678	1	iteration	112
#F8766D	-0.0188981138453484	0.0753611868741199	1	iteration	113
#F8766D	-0.0190790658265017	0.0761218312192742	1	iteration	114
#F8766D	-0.0192527607825258	0.0768537284727239	1	iteration	115
#F8766D	-0.0194194885069278	0.0775579653723001	1	iteration	116
#F8766D	-0.0195795272643662	0.0782355875624862	1	iteration	117
#F8766D	-0.0197331442477841	0.0788876011487047	1	iteration	118
#F8766D	-0.019880596017471	0.0795149741928023	1	iteration	119
#F8766D	-0.0200221289227631	0.0801186381519563	1	iteration	120
#F8766D	-0.020157979507069	0.0806994892631435	1	iteration	121
