xmin	xmax	clickSelects	group
3.75	4.25	1e+04 	11
3.25	3.75	3e+03 	10
2.75	3.25	1e+03 	9
2.25	2.75	3e+02 	8
1.75	2.25	1e+02 	7
1.25	1.75	3e+01 	6
0.75	1.25	1e+01 	5
0.25	0.75	3e+00 	4
-0.25	0.25	1e+00 	3
-0.75	-0.25	3e-01 	2
-1.25	-0.75	1e-01 	1
